feature,vif
NS,10.466405150445905
AGE,7.198083857594655
FEET_MEAN_ESC,3.2127917698236765
HAND_MEAN_ESC,2.395730975001429
CAS,2.3903465761927474
DEC_AR,1.8630290895365307
DEC_VS,1.55084975038847
PAOD,1.5428534256956028
GBS,1.5098506220609285
INSULIN,1.4870388065177562
DEC_PPS,1.483666382356915
MNSI,1.4572681415661095
FEET_PCT_ASYM,1.4485082703917742
HBA1C,1.4049918142022246
DEC_LTS,1.4049312799023008
HAND_PCT_ASYM,1.3860828434495132
DM_DUR,1.3785909694408964
SUBJ,1.347380196828549
HPN,1.3238636676249365
CKD,1.3179605692279037
DSLPDMIA,1.2816892175495995
SEX,1.2251670167886521
