feature,unit,nonrecordable_unconfirmed,nonrecordable_confirmed,auc,auc_lo,auc_hi,p,q
SSA_L,uV,0,35,0.07341430499325236,0.03900134952766532,0.11450910931174088,1.3209496536391383e-20,2.0838185513940707e-19
SSC_L,m/s,0,35,0.2261808367071525,0.16119601889338733,0.29488866396761126,2.320927495895852e-09,2.9840496375803812e-09
SPSA_L,uV,1,52,0.1360323886639676,0.08689946018893387,0.19453609986504722,1.1870018008933286e-15,2.6707540520099895e-15
SPSC_L,m/s,1,52,0.20479082321187583,0.14372300944669367,0.27146423751686904,8.398779623833019e-11,1.374345756627221e-10
MCV_L,m/s,0,2,0.18279352226720647,0.12556848852901487,0.2442661943319838,5.289695973031392e-12,9.521452751456505e-12
DL_L,ms,0,2,0.7243589743589743,0.6518859649122807,0.7983181511470985,1.063345735861749e-06,1.1258954850300872e-06
CMAPANK_L,mV,0,2,0.08022941970310392,0.04223346828609986,0.1271356275303643,6.991543412815116e-20,2.8810526895688763e-19
CMAPKNE_L,mV,0,2,0.0747638326585695,0.036302294197031036,0.11700742240215924,2.315353945993412e-20,2.0838185513940707e-19
FWAVE_L,ms,0,4,0.778812415654521,0.7115182186234819,0.8414372469635627,1.3398294125807253e-09,1.8551484174194659e-09
SSA_R,uV,0,35,0.08097165991902834,0.04358974358974359,0.12469635627530365,6.153080497741947e-20,2.8810526895688763e-19
SSC_R,m/s,0,35,0.23049932523616734,0.16902665317139004,0.2972537112010795,4.122933354276092e-09,4.94752002513131e-09
SPSA_R,uV,1,52,0.12995951417004048,0.08083333333333333,0.18597334682860994,3.972827205538623e-16,1.0215841385670746e-15
SPSC_R,m/s,1,52,0.2174089068825911,0.15512145748987854,0.2845529689608637,5.108660129880498e-10,7.662990194820747e-10
MCV_R,m/s,0,2,0.149055330634278,0.09419534412955466,0.20938933873144394,2.3192728678480466e-14,4.638545735696093e-14
DL_R,ms,0,2,0.6300269905533064,0.5406831983805668,0.7130296896086369,0.0046888783172356055,0.0046888783172356055
CMAPANK_R,mV,0,2,0.09507422402159245,0.05229251012145749,0.1419838056680161,1.3088397134747147e-18,3.926519140424144e-18
CMAPKNE_R,mV,0,2,0.08090418353576248,0.03899460188933873,0.13023954116059375,8.002924137691323e-20,2.8810526895688763e-19
FWAVE_R,ms,0,8,0.7445344129554656,0.674342105263158,0.812419028340081,1.0546819875728104e-07,1.1865172360194117e-07
