metric,mean,std,ci_lower,ci_upper
threshold,0.4813585053307228,0.04202500910404575,0.468335059393102,0.49438195126834356
accuracy,0.7765379278445883,0.059915669024946674,0.7579702108351551,0.7951056448540215
precision,0.8126786309782457,0.043821841686135315,0.7990983510864939,0.8262589108699975
sensitivity,0.8864346590909091,0.08337702472436909,0.8605963262246599,0.9122729919571584
specificity,0.5267857142857142,0.14140773681755295,0.4829638078812391,0.5706076206901893
f1,0.8452355672815697,0.04641681620287292,0.8308511112326025,0.8596200233305369
f1.25,0.8534908321958395,0.052815244688855734,0.8371235190517882,0.8698581453398909
f1.5,0.8599805020775959,0.058414816569514416,0.8418778955162123,0.8780831086389795
f1.75,0.8649798719723414,0.0629395421185915,0.845475064202028,0.8844846797426548
f2,0.8688222837450938,0.06650318319489829,0.8482131124567748,0.8894314550334129
youden,0.41322037337662343,0.13829211787673928,0.3703639895431835,0.45607675721006335
roc-auc,0.7985315205627705,0.07297493832350946,0.7759167684349491,0.821146272690592
auprc,0.88639996305435,0.04942915148938145,0.8710819917822759,0.9017179343264241
