feature,group,kind,modelled,actionable,role,auc,auc_lo,auc_hi,p,test,odds_ratio,or_lo,or_hi,or_corrected,n_nonrecordable,n_nonrecordable_unconf,n_nonrecordable_conf,q,strength
SEX,Profile,binary,True,False,"Candidate predictor, fixed",0.5491902834008097,0.4772739541160594,0.6227395411605938,0.18834443635446652,chi-square,1.5855421686746989,0.7955719116499056,3.1599204695803014,False,,,,0.23019875554434796,0.049190283400809665
AGE,Profile,continuous,True,False,"Candidate predictor, fixed",0.6576248313090418,0.5684547908232119,0.744809379217274,0.0006069134329898721,Mann-Whitney,,,,,,,,0.0014835661695307984,0.1576248313090418
SUBJ,Profile,binary,True,False,"Candidate predictor, fixed",0.5980431848852902,0.5355448717948718,0.6616059379217274,0.0004450060923713771,chi-square,4.221729490022173,1.812118662541838,9.835448558276399,False,,,,0.001223766754021287,0.09804318488529018
DM_DUR,Profile,continuous,True,False,"Candidate predictor, fixed",0.6819838056680162,0.5889321862348178,0.7644433198380567,7.23309905075163e-05,Mann-Whitney,,,,,,,,0.00031825635823307173,0.1819838056680162
INSULIN,Profile,binary,True,True,"Candidate predictor, counterfactual-actionable",0.5854925775978408,0.5069905533063428,0.655195681511471,0.029045425000872226,chi-square,2.080136402387042,1.0710256194145025,4.040022361837739,False,,,,0.04564281071565635,0.08549257759784079
HBA1C,Profile,continuous,True,True,"Candidate predictor, counterfactual-actionable",0.5451417004048583,0.45876349527665317,0.6292341430499324,0.3269111738598881,Mann-Whitney,,,,,,,,0.3785287276272388,0.04514170040485832
HPN,Comorbidity,binary,True,True,"Candidate predictor, counterfactual-actionable",0.5143724696356275,0.4348178137651822,0.5873144399460188,0.7119850125563824,chi-square,1.1265597147950088,0.5983275400531635,2.1211405226078086,False,,,,0.7119850125563824,0.01437246963562755
PAOD,Comorbidity,binary,True,True,"Candidate predictor, counterfactual-actionable",0.5181511470985155,0.4918353576248313,0.5423076923076923,0.4384500217433591,Fisher,3.186991869918699,0.3829310033106798,26.524144274333864,False,,,,0.482295023917695,0.018151147098515508
DSLPDMIA,Comorbidity,binary,True,True,"Candidate predictor, counterfactual-actionable",0.5702429149797571,0.4945344129554656,0.6465856950067476,0.07673933455239632,chi-square,1.7609649122807018,0.9381842371857291,3.3053181873805944,False,,,,0.10551658500954493,0.0702429149797571
CKD,Comorbidity,binary,True,True,"Candidate predictor, counterfactual-actionable",0.5539811066126855,0.49964743589743593,0.607246963562753,0.08802551078511865,chi-square,2.142857142857143,0.879990345103083,5.218053539162392,False,,,,0.11391536689838885,0.053981106612685514
GBS,Comorbidity,binary,True,False,"Candidate predictor, fixed",0.49507422402159246,0.47368421052631576,0.5076923076923077,0.5178540624460929,Fisher,0.43410852713178294,0.02667688609646714,7.064175805491882,False,,,,0.5425137797054306,0.004925775978407543
DEC_VS,Neurological examination,binary,True,False,"Candidate predictor, fixed",0.7304318488529015,0.6656427125506074,0.7930499325236168,6.465482816476241e-09,chi-square,7.898989898989899,3.7292475510734975,16.731000173582938,False,,,,7.112031098123865e-08,0.23043184885290147
DEC_PPS,Neurological examination,binary,True,False,"Candidate predictor, fixed",0.6645748987854251,0.5916177462887989,0.7336858974358974,3.406178017127414e-05,chi-square,4.067924528301887,2.049546454359591,8.073986287434888,False,,,,0.00018733979094200776,0.16457489878542508
DEC_LTS,Neurological examination,binary,True,False,"Candidate predictor, fixed",0.6316464237516869,0.5619315114709852,0.7024291497975709,0.0009094889269137246,chi-square,3.0134158926728585,1.5499573322123528,5.858661495701908,False,,,,0.0019026058482504815,0.1316464237516869
DEC_AR,Neurological examination,binary,True,False,"Candidate predictor, fixed",0.7479757085020243,0.684885290148448,0.8082995951417004,4.264906799608014e-10,chi-square,10.074074074074074,4.533889799056095,22.384083634114766,False,,,,9.38279495913763e-09,0.24797570850202433
MNSI,MNSI,continuous,True,False,"Candidate predictor, fixed",0.6724696356275304,0.5848667341430499,0.7564338731443994,0.00016111903261978625,Mann-Whitney,,,,,,,,0.0005063741025193283,0.17246963562753037
FEET_MEAN_ESC,Sudoscan,continuous,True,False,"Candidate predictor, fixed",0.32058029689608636,0.24534412955465587,0.4047334682860998,9.562889484990468e-05,Mann-Whitney,,,,,,,,0.00035063928111631716,0.17941970310391364
FEET_PCT_ASYM,Sudoscan,continuous,True,False,"Candidate predictor, fixed",0.6516194331983806,0.5638326585695007,0.7328609986504724,0.0009513029241252407,Mann-Whitney,,,,,,,,0.0019026058482504815,0.15161943319838056
HAND_MEAN_ESC,Sudoscan,continuous,True,False,"Candidate predictor, fixed",0.38596491228070173,0.2986487854251012,0.4731697031039135,0.013168564136315635,Mann-Whitney,,,,,,,,0.02228526238453415,0.11403508771929827
HAND_PCT_ASYM,Sudoscan,continuous,True,False,"Candidate predictor, fixed",0.5861673414304993,0.49898785425101216,0.6732135627530365,0.06082844688103128,Mann-Whitney,,,,,,,,0.08921505542551254,0.08616734143049931
