group,feature,kind,actionable,overall,unconfirmed,confirmed,auc,auc_lo,auc_hi,effect,test,p,q
Profile,SEX,binary,False,62 (33.2),15 (26.3),47 (36.2),0.5491902834008097,0.4772739541160594,0.6227395411605938,OR 1.59 (0.80--3.16),chi-square,0.18834443635446652,0.23019875554434796
Profile,AGE,continuous,False,59 [50--66],52 [39--63],61 [53--67],0.6576248313090418,0.5684547908232119,0.744809379217274,AUC 0.66 (0.57--0.74),Mann-Whitney,0.0006069134329898721,0.0014835661695307984
Profile,SUBJ,binary,False,160 (85.6),41 (71.9),119 (91.5),0.5980431848852902,0.5355448717948718,0.6616059379217274,OR 4.22 (1.81--9.84),chi-square,0.0004450060923713771,0.001223766754021287
Profile,DM_DUR,continuous,False,5 [2--10],2 [1--6],7 [3--12],0.6819838056680162,0.5889321862348178,0.7644433198380567,AUC 0.68 (0.59--0.76),Mann-Whitney,7.23309905075163e-05,0.00031825635823307173
Profile,INSULIN,binary,True,78 (41.7),17 (29.8),61 (46.9),0.5854925775978408,0.5069905533063428,0.655195681511471,OR 2.08 (1.07--4.04),chi-square,0.029045425000872226,0.04564281071565635
Profile,HBA1C,continuous,True,7.5 [6.4--9.8],7.2 [6.4--8.8],7.6 [6.4--10.3],0.5451417004048583,0.45876349527665317,0.6292341430499324,AUC 0.55 (0.46--0.63),Mann-Whitney,0.3269111738598881,0.3785287276272388
Comorbidity,HPN,binary,True,112 (59.9),33 (57.9),79 (60.8),0.5143724696356275,0.4348178137651822,0.5873144399460188,OR 1.13 (0.60--2.12),chi-square,0.7119850125563824,0.7119850125563824
Comorbidity,PAOD,binary,True,8 (4.3),1 (1.8),7 (5.4),0.5181511470985155,0.4918353576248313,0.5423076923076923,OR 3.19 (0.38--26.52),Fisher,0.4384500217433591,0.482295023917695
Comorbidity,DSLPDMIA,binary,True,97 (51.9),24 (42.1),73 (56.2),0.5702429149797571,0.4945344129554656,0.6465856950067476,OR 1.76 (0.94--3.31),chi-square,0.07673933455239632,0.10551658500954493
Comorbidity,CKD,binary,True,37 (19.8),7 (12.3),30 (23.1),0.5539811066126855,0.49964743589743593,0.607246963562753,OR 2.14 (0.88--5.22),chi-square,0.08802551078511865,0.11391536689838885
Comorbidity,GBS,binary,False,2 (1.1),1 (1.8),1 (0.8),0.49507422402159246,0.47368421052631576,0.5076923076923077,OR 0.43 (0.03--7.06),Fisher,0.5178540624460929,0.5425137797054306
Neurological examination,DEC_VS,binary,False,96 (51.3),11 (19.3),85 (65.4),0.7304318488529015,0.6656427125506074,0.7930499325236168,OR 7.90 (3.73--16.73),chi-square,6.465482816476241e-09,7.112031098123865e-08
Neurological examination,DEC_PPS,binary,False,92 (49.2),15 (26.3),77 (59.2),0.6645748987854251,0.5916177462887989,0.7336858974358974,OR 4.07 (2.05--8.07),chi-square,3.406178017127414e-05,0.00018733979094200776
Neurological examination,DEC_LTS,binary,False,90 (48.1),17 (29.8),73 (56.2),0.6316464237516869,0.5619315114709852,0.7024291497975709,OR 3.01 (1.55--5.86),chi-square,0.0009094889269137246,0.0019026058482504815
Neurological examination,DEC_AR,binary,False,94 (50.3),9 (15.8),85 (65.4),0.7479757085020243,0.684885290148448,0.8082995951417004,OR 10.07 (4.53--22.38),chi-square,4.264906799608014e-10,9.38279495913763e-09
MNSI,MNSI,continuous,False,5 [3--7],4 [2--6],6 [4--8],0.6724696356275304,0.5848667341430499,0.7564338731443994,AUC 0.67 (0.58--0.76),Mann-Whitney,0.00016111903261978625,0.0005063741025193283
Sudoscan,FEET_MEAN_ESC,continuous,False,53 [38--65],60 [48--71],48 [32--59],0.32058029689608636,0.24534412955465587,0.4047334682860998,AUC 0.32 (0.25--0.40),Mann-Whitney,9.562889484990468e-05,0.00035063928111631716
Sudoscan,FEET_PCT_ASYM,continuous,False,5 [2--11],3 [1--6],6 [3--12],0.6516194331983806,0.5638326585695007,0.7328609986504724,AUC 0.65 (0.56--0.73),Mann-Whitney,0.0009513029241252407,0.0019026058482504815
Sudoscan,HAND_MEAN_ESC,continuous,False,58 [44--72],63 [51--75],56 [41--70],0.38596491228070173,0.2986487854251012,0.4731697031039135,AUC 0.39 (0.30--0.47),Mann-Whitney,0.013168564136315635,0.02228526238453415
Sudoscan,HAND_PCT_ASYM,continuous,False,9 [4--14],6 [4--11],10 [4--17],0.5861673414304993,0.49898785425101216,0.6732135627530365,AUC 0.59 (0.50--0.67),Mann-Whitney,0.06082844688103128,0.08921505542551254
Sudoscan,NS,continuous,False,53 [46--64],61 [52--77],51 [44--58],0.2807017543859649,0.19608130904183538,0.36364203778677456,AUC 0.28 (0.20--0.36),Mann-Whitney,1.842371425659194e-06,1.3510723788167424e-05
Sudoscan,CAS,continuous,False,30 [25--35],28 [18--33],31 [27--35],0.6354251012145749,0.5447790148448044,0.7245006747638326,AUC 0.64 (0.54--0.72),Mann-Whitney,0.003209370663149467,0.0058838462157740235
