feature,group,role,auc,auc_lo,auc_hi,p,q,n_nonrecordable
SEX,Profile,"Candidate predictor, fixed",0.5491902834008097,0.4772739541160594,0.6227395411605938,0.18834443635446652,0.23019875554434796,
AGE,Profile,"Candidate predictor, fixed",0.6576248313090418,0.5684547908232119,0.744809379217274,0.0006069134329898721,0.0014835661695307984,
SUBJ,Profile,"Candidate predictor, fixed",0.5980431848852902,0.5355448717948718,0.6616059379217274,0.0004450060923713771,0.001223766754021287,
DM_DUR,Profile,"Candidate predictor, fixed",0.6819838056680162,0.5889321862348178,0.7644433198380567,7.23309905075163e-05,0.00031825635823307173,
INSULIN,Profile,"Candidate predictor, counterfactual-actionable",0.5854925775978408,0.5069905533063428,0.655195681511471,0.029045425000872226,0.04564281071565635,
HBA1C,Profile,"Candidate predictor, counterfactual-actionable",0.5451417004048583,0.45876349527665317,0.6292341430499324,0.3269111738598881,0.3785287276272388,
HPN,Comorbidity,"Candidate predictor, counterfactual-actionable",0.5143724696356275,0.4348178137651822,0.5873144399460188,0.7119850125563824,0.7119850125563824,
PAOD,Comorbidity,"Candidate predictor, counterfactual-actionable",0.5181511470985155,0.4918353576248313,0.5423076923076923,0.4384500217433591,0.482295023917695,
DSLPDMIA,Comorbidity,"Candidate predictor, counterfactual-actionable",0.5702429149797571,0.4945344129554656,0.6465856950067476,0.07673933455239632,0.10551658500954493,
CKD,Comorbidity,"Candidate predictor, counterfactual-actionable",0.5539811066126855,0.49964743589743593,0.607246963562753,0.08802551078511865,0.11391536689838885,
GBS,Comorbidity,"Candidate predictor, fixed",0.49507422402159246,0.47368421052631576,0.5076923076923077,0.5178540624460929,0.5425137797054306,
DEC_VS,Neurological examination,"Candidate predictor, fixed",0.7304318488529015,0.6656427125506074,0.7930499325236168,6.465482816476241e-09,7.112031098123865e-08,
DEC_PPS,Neurological examination,"Candidate predictor, fixed",0.6645748987854251,0.5916177462887989,0.7336858974358974,3.406178017127414e-05,0.00018733979094200776,
DEC_LTS,Neurological examination,"Candidate predictor, fixed",0.6316464237516869,0.5619315114709852,0.7024291497975709,0.0009094889269137246,0.0019026058482504815,
DEC_AR,Neurological examination,"Candidate predictor, fixed",0.7479757085020243,0.684885290148448,0.8082995951417004,4.264906799608014e-10,9.38279495913763e-09,
MNSI,MNSI,"Candidate predictor, fixed",0.6724696356275304,0.5848667341430499,0.7564338731443994,0.00016111903261978625,0.0005063741025193283,
FEET_MEAN_ESC,Sudoscan,"Candidate predictor, fixed",0.32058029689608636,0.24534412955465587,0.4047334682860998,9.562889484990468e-05,0.00035063928111631716,
FEET_PCT_ASYM,Sudoscan,"Candidate predictor, fixed",0.6516194331983806,0.5638326585695007,0.7328609986504724,0.0009513029241252407,0.0019026058482504815,
HAND_MEAN_ESC,Sudoscan,"Candidate predictor, fixed",0.38596491228070173,0.2986487854251012,0.4731697031039135,0.013168564136315635,0.02228526238453415,
HAND_PCT_ASYM,Sudoscan,"Candidate predictor, fixed",0.5861673414304993,0.49898785425101216,0.6732135627530365,0.06082844688103128,0.08921505542551254,
NS,Sudoscan,"Candidate predictor, fixed",0.2807017543859649,0.19608130904183538,0.36364203778677456,1.842371425659194e-06,1.3510723788167424e-05,
CAS,Sudoscan,"Candidate predictor, fixed",0.6354251012145749,0.5447790148448044,0.7245006747638326,0.003209370663149467,0.0058838462157740235,
SSA_L,Nerve conduction study,Excluded (outcome-definitional),0.07341430499325236,0.03900134952766532,0.11450910931174088,1.3209496536391383e-20,2.0838185513940707e-19,35.0
SSC_L,Nerve conduction study,Excluded (outcome-definitional),0.2261808367071525,0.16119601889338733,0.29488866396761126,2.320927495895852e-09,2.9840496375803812e-09,35.0
SPSA_L,Nerve conduction study,Excluded (outcome-definitional),0.1360323886639676,0.08689946018893387,0.19453609986504722,1.1870018008933286e-15,2.6707540520099895e-15,53.0
SPSC_L,Nerve conduction study,Excluded (outcome-definitional),0.20479082321187583,0.14372300944669367,0.27146423751686904,8.398779623833019e-11,1.374345756627221e-10,53.0
MCV_L,Nerve conduction study,Excluded (outcome-definitional),0.18279352226720647,0.12556848852901487,0.2442661943319838,5.289695973031392e-12,9.521452751456505e-12,2.0
DL_L,Nerve conduction study,Excluded (outcome-definitional),0.7243589743589743,0.6518859649122807,0.7983181511470985,1.063345735861749e-06,1.1258954850300872e-06,2.0
CMAPANK_L,Nerve conduction study,Excluded (outcome-definitional),0.08022941970310392,0.04223346828609986,0.1271356275303643,6.991543412815116e-20,2.8810526895688763e-19,2.0
CMAPKNE_L,Nerve conduction study,Excluded (outcome-definitional),0.0747638326585695,0.036302294197031036,0.11700742240215924,2.315353945993412e-20,2.0838185513940707e-19,2.0
FWAVE_L,Nerve conduction study,Excluded (outcome-definitional),0.778812415654521,0.7115182186234819,0.8414372469635627,1.3398294125807253e-09,1.8551484174194659e-09,4.0
SSA_R,Nerve conduction study,Excluded (outcome-definitional),0.08097165991902834,0.04358974358974359,0.12469635627530365,6.153080497741947e-20,2.8810526895688763e-19,35.0
SSC_R,Nerve conduction study,Excluded (outcome-definitional),0.23049932523616734,0.16902665317139004,0.2972537112010795,4.122933354276092e-09,4.94752002513131e-09,35.0
SPSA_R,Nerve conduction study,Excluded (outcome-definitional),0.12995951417004048,0.08083333333333333,0.18597334682860994,3.972827205538623e-16,1.0215841385670746e-15,53.0
SPSC_R,Nerve conduction study,Excluded (outcome-definitional),0.2174089068825911,0.15512145748987854,0.2845529689608637,5.108660129880498e-10,7.662990194820747e-10,53.0
MCV_R,Nerve conduction study,Excluded (outcome-definitional),0.149055330634278,0.09419534412955466,0.20938933873144394,2.3192728678480466e-14,4.638545735696093e-14,2.0
DL_R,Nerve conduction study,Excluded (outcome-definitional),0.6300269905533064,0.5406831983805668,0.7130296896086369,0.0046888783172356055,0.0046888783172356055,2.0
CMAPANK_R,Nerve conduction study,Excluded (outcome-definitional),0.09507422402159245,0.05229251012145749,0.1419838056680161,1.3088397134747147e-18,3.926519140424144e-18,2.0
CMAPKNE_R,Nerve conduction study,Excluded (outcome-definitional),0.08090418353576248,0.03899460188933873,0.13023954116059375,8.002924137691323e-20,2.8810526895688763e-19,2.0
FWAVE_R,Nerve conduction study,Excluded (outcome-definitional),0.7445344129554656,0.674342105263158,0.812419028340081,1.0546819875728104e-07,1.1865172360194117e-07,8.0
