Algorithm,AUPRC,ROC-AUC,Sensitivity,Specificity,Accuracy,Precision,Youden Index,F1 Score
Random Forest,0.892 ± 0.039,0.809 ± 0.062,0.916 ± 0.058,0.529 ± 0.125,0.798 ± 0.048,0.818 ± 0.038,0.446 ± 0.124,0.863 ± 0.034
CatBoost,0.889 ± 0.044,0.803 ± 0.068,0.913 ± 0.062,0.512 ± 0.117,0.791 ± 0.052,0.811 ± 0.036,0.425 ± 0.125,0.858 ± 0.038
Extra Trees,0.885 ± 0.042,0.790 ± 0.065,0.884 ± 0.061,0.499 ± 0.126,0.767 ± 0.048,0.803 ± 0.037,0.383 ± 0.123,0.840 ± 0.035
Naive Bayes,0.884 ± 0.052,0.804 ± 0.070,0.684 ± 0.352,0.628 ± 0.271,0.666 ± 0.197,0.769 ± 0.162,0.312 ± 0.251,0.673 ± 0.310
Logistic Regression,0.880 ± 0.054,0.787 ± 0.076,0.872 ± 0.071,0.531 ± 0.117,0.768 ± 0.056,0.810 ± 0.038,0.403 ± 0.128,0.838 ± 0.043
RBF SVM,0.878 ± 0.055,0.797 ± 0.072,0.938 ± 0.049,0.453 ± 0.129,0.790 ± 0.054,0.798 ± 0.041,0.390 ± 0.141,0.861 ± 0.036
LDA,0.878 ± 0.059,0.788 ± 0.081,0.847 ± 0.083,0.577 ± 0.112,0.765 ± 0.065,0.821 ± 0.040,0.424 ± 0.136,0.832 ± 0.052
Linear SVM,0.869 ± 0.056,0.771 ± 0.081,0.858 ± 0.072,0.520 ± 0.115,0.755 ± 0.063,0.804 ± 0.040,0.378 ± 0.141,0.829 ± 0.047
XGBoost,0.864 ± 0.038,0.763 ± 0.063,0.859 ± 0.065,0.526 ± 0.118,0.757 ± 0.058,0.806 ± 0.040,0.384 ± 0.137,0.830 ± 0.043
Gradient Boosting,0.860 ± 0.042,0.755 ± 0.067,0.871 ± 0.058,0.503 ± 0.125,0.759 ± 0.050,0.802 ± 0.041,0.374 ± 0.127,0.833 ± 0.036
LightGBM,0.851 ± 0.042,0.751 ± 0.065,0.862 ± 0.066,0.517 ± 0.112,0.757 ± 0.058,0.804 ± 0.038,0.380 ± 0.132,0.831 ± 0.043
kNN,0.843 ± 0.043,0.751 ± 0.064,0.849 ± 0.069,0.463 ± 0.121,0.731 ± 0.058,0.784 ± 0.040,0.311 ± 0.134,0.814 ± 0.044
SGDClassifier,0.839 ± 0.054,0.722 ± 0.091,0.723 ± 0.300,0.503 ± 0.329,0.657 ± 0.134,0.795 ± 0.081,0.226 ± 0.178,0.705 ± 0.211
Decision Tree,0.769 ± 0.042,0.649 ± 0.073,0.775 ± 0.073,0.522 ± 0.145,0.698 ± 0.059,0.790 ± 0.051,0.297 ± 0.146,0.780 ± 0.046
Naive,0.695 ± 0.009,0.500 ± 0.000,1.000 ± 0.000,0.000 ± 0.000,0.695 ± 0.009,0.695 ± 0.009,0.000 ± 0.000,0.820 ± 0.006
